ISEE,IAA,IBE,Condicion_Base_OK,Perfil_Final,Desajuste
0.47499999999999987,0.4541268292682927,0.5207600281491909,True,Perfil con autonomía alta y entorno exigente,0
0.30000000000000004,0.16495609756097568,0.5489092188599578,True,Perfil educativo equilibrado,0
0.5,0.7219121951219514,0.565798733286418,True,Perfil con autonomía alta y entorno exigente,0
0.30000000000000004,0.7032975609756097,0.5876143560872624,True,Perfil con autonomía alta y entorno exigente,1
0.625,0.5895024390243904,0.47712878254750174,True,Perfil con bienestar comprometido,0
0.5,0.5492292682926829,0.6291344123856439,True,Perfil con autonomía alta y entorno exigente,0
0.32499999999999996,0.4851512195121952,0.39408866995073893,True,Perfil con bienestar comprometido,0
0.5999999999999999,0.5550829268292684,0.27023223082336373,True,Perfil con bienestar comprometido,1
0.5499999999999998,0.8342243902439025,0.2885292047853623,True,Perfil con bienestar comprometido,1
0.625,0.7628878048780489,0.7769176636171711,True,Entorno favorable con autonomía en construcción,0
0.5999999999999999,0.4247804878048781,0.637579169598874,True,Entorno favorable con autonomía en construcción,0
0.7999999999999998,0.478478048780488,0.31878958479943703,True,Perfil educativo equilibrado,0
0.5,0.3749853658536586,0.6748768472906403,True,Perfil con autonomía alta y entorno exigente,0
0.5,0.42033170731707337,0.624912033779029,True,Perfil con autonomía alta y entorno exigente,0
0.6749999999999998,0.4145951219512196,0.6361717100633357,True,Entorno favorable con autonomía en construcción,1
0.5,0.35430243902439035,0.685432793807178,True,Perfil con autonomía alta y entorno exigente,0
0.32499999999999996,0.12819512195121952,0.7572132301196339,True,Perfil con autonomía alta y entorno exigente,0
0.42500000000000004,0.44643902439024397,0.39127375087966215,True,Perfil educativo equilibrado,0
0.5,0.2634146341463415,0.6164672765657986,True,Perfil educativo equilibrado,0
0.6749999999999998,0.35278048780487803,0.6059113300492611,True,Entorno favorable con autonomía en construcción,1
0.5,0.7855219512195122,0.13652357494722023,True,Perfil con bienestar comprometido,1
0.7999999999999998,0.7103219512195122,0.4116819141449684,True,Perfil con bienestar comprometido,0
0.6749999999999998,0.30017560975609764,0.4152005629838142,True,Perfil educativo equilibrado,1
0.7000000000000002,0.5917658536585366,0.5869106263194932,True,Entorno favorable con autonomía en construcción,0
0.47499999999999987,0.32409756097560977,0.35960591133004943,True,Perfil educativo equilibrado,0
0.6500000000000001,0.5495024390243903,0.46305418719211816,True,Entorno favorable con autonomía en construcción,0
0.30000000000000004,0.573580487804878,0.2793807178043631,True,Perfil con bienestar comprometido,1
0.875,0.6024975609756099,0.33004926108374383,True,Perfil con bienestar comprometido,1
0.5,0.5916097560975611,0.23645320197044334,True,Perfil con bienestar comprometido,1
0.875,0.17572682926829272,0.1280788177339901,True,Perfil educativo equilibrado,1
0.17500000000000004,0.5463024390243904,0.5270935960591134,True,Perfil con autonomía alta y entorno exigente,0
0.6749999999999998,0.5307317073170731,0.4194229415904293,True,Perfil con bienestar comprometido,0
0.625,0.3924682926829269,0.6157635467980296,True,Entorno favorable con autonomía en construcción,1
0.7000000000000002,0.24565853658536588,0.29978888106966933,True,Perfil educativo equilibrado,1
0.7000000000000002,0.3990243902439025,0.35960591133004943,True,Perfil educativo equilibrado,1
0.30000000000000004,0.21447804878048785,0.315270935960591,False,Condición de base comprometida,0
0.44999999999999996,0.19375609756097562,0.5073891625615765,True,Perfil educativo equilibrado,0
0.5,0.4143219512195123,0.7846586910626316,True,Perfil con autonomía alta y entorno exigente,0
0.30000000000000004,0.37291707317073175,0.7586206896551724,True,Perfil con autonomía alta y entorno exigente,0
0.42500000000000004,0.2189268292682927,0.38071780436312447,True,Perfil educativo equilibrado,0
0.8250000000000002,0.22688780487804885,0.3969035890218156,True,Perfil educativo equilibrado,1
0.625,0.4102243902439025,0.3096410978184377,True,Perfil educativo equilibrado,1
0.47499999999999987,0.34786341463414644,0.5270935960591134,True,Perfil educativo equilibrado,0
0.6749999999999998,0.6002731707317074,0.3659394792399719,True,Perfil con bienestar comprometido,1
0.5,0.4575219512195123,0.6995073891625616,True,Perfil con autonomía alta y entorno exigente,0
0.5,0.3650731707317074,0.6164672765657988,True,Perfil con autonomía alta y entorno exigente,0
0.625,0.48015609756097566,0.4532019704433498,True,Perfil educativo equilibrado,0
0.32499999999999996,0.36811707317073183,0.4412385643912738,True,Perfil educativo equilibrado,0
0.42500000000000004,0.38938536585365857,0.4517945109078115,True,Perfil educativo equilibrado,0
0.625,0.36999024390243906,0.31175228712174524,True,Perfil educativo equilibrado,1
